"id_buffer","Pastagem","Formação Florestal","Formação Campestre","Afloramento Rochoso","Mineração","Outras Lavouras","Área Úmida Natural","Corpo d'Água"
1,100,0,0,0,0,0,0,0
2,91.1464245175936,2.83768444948922,5.90238365493757,0.113507377979569,0,0,0,0
3,34.9658314350797,0,0,0,65.0341685649203,0,0,0
4,81.5819209039548,0,13.2203389830508,5.19774011299435,0,0,0,0
5,92.7437641723356,0,7.2562358276644,0,0,0,0,0
6,65.1029748283753,34.8970251716247,0,0,0,0,0,0
7,73.1513083048919,16.6097838452787,0,0,10.2389078498294,0,0,0
8,69.3970420932878,30.6029579067122,0,0,0,0,0,0
9,83.6919592298981,0,0,0,16.3080407701019,0,0,0
10,97.0387243735763,1.36674259681093,1.59453302961276,0,0,0,0,0
11,99.8867497168743,0,0,0,0,0.113250283125708,0,0
12,100,0,0,0,0,0,0,0
13,80.7256235827664,0,0.90702947845805,0,0,18.3673469387755,0,0
14,60,7.2316384180791,6.55367231638418,0,26.2146892655367,0,0,0
15,96.3800904977376,1.24434389140271,0,0,0,0,0.226244343891403,2.14932126696833
