"id_buffer","categoria_bruta","pixels","percentagem","Categoria_Limpa","Cores"
1,"Formação Florestal",309,35.1136363636364,"Formação Florestal","#006400"
1,"Mangue",240,27.2727272727273,"Mangue","#687537"
1,"Cana",4,0.454545454545455,"Cana","#9932CC"
1,"Mosaico de Usos",236,26.8181818181818,"Mosaico de Usos","#f4a460"
1,"Apicum",76,8.63636363636364,"Apicum","#a9a14c"
1,"Corpo d'Água",15,1.70454545454545,"Corpo d'Água","#0000ff"
2,"Formação Florestal",596,67.8815489749431,"Formação Florestal","#006400"
2,"Mangue",165,18.7927107061503,"Mangue","#687537"
2,"Mosaico de Usos",53,6.03644646924829,"Mosaico de Usos","#f4a460"
2,"Apicum",15,1.70842824601367,"Apicum","#a9a14c"
2,"Corpo d'Água",49,5.58086560364465,"Corpo d'Água","#0000ff"
3,"Formação Florestal",653,73.7853107344633,"Formação Florestal","#006400"
3,"Mangue",204,23.0508474576271,"Mangue","#687537"
3,"Campo Alagado",5,0.564971751412429,"Campo Alagado","#00ffff"
3,"Mosaico de Usos",11,1.24293785310734,"Mosaico de Usos","#f4a460"
3,"Corpo d'Água",12,1.35593220338983,"Corpo d'Água","#0000ff"
4,"Formação Florestal",754,85.7792946530148,"Formação Florestal","#006400"
4,"Mosaico de Usos",125,14.2207053469852,"Mosaico de Usos","#f4a460"
5,"Formação Florestal",759,86.4464692482916,"Formação Florestal","#006400"
5,"Mosaico de Usos",119,13.5535307517084,"Mosaico de Usos","#f4a460"
6,"Formação Florestal",315,35.8361774744027,"Formação Florestal","#006400"
6,"Mangue",126,14.3344709897611,"Mangue","#687537"
6,"Campo Alagado",30,3.41296928327645,"Campo Alagado","#00ffff"
6,"Cana",47,5.34698521046644,"Cana","#9932CC"
6,"Mosaico de Usos",183,20.8191126279863,"Mosaico de Usos","#f4a460"
6,"Aquicultura",92,10.4664391353811,"Aquicultura","#02106f"
6,"Corpo d'Água",86,9.78384527872583,"Corpo d'Água","#0000ff"
7,"Formação Florestal",447,50.7954545454545,"Formação Florestal","#006400"
7,"Cana",9,1.02272727272727,"Cana","#9932CC"
7,"Mosaico de Usos",398,45.2272727272727,"Mosaico de Usos","#f4a460"
7,"Área Urbanizada",11,1.25,"Área Urbanizada","#ff0000"
7,"Outras Áreas não Vegetadas",15,1.70454545454545,"Outras Áreas não Vegetadas","#d3d3d3"
8,"Formação Florestal",311,35.3409090909091,"Formação Florestal","#006400"
8,"Mangue",47,5.34090909090909,"Mangue","#687537"
8,"Campo Alagado",17,1.93181818181818,"Campo Alagado","#00ffff"
8,"Cana",81,9.20454545454545,"Cana","#9932CC"
8,"Mosaico de Usos",400,45.4545454545455,"Mosaico de Usos","#f4a460"
8,"Corpo d'Água",24,2.72727272727273,"Corpo d'Água","#0000ff"
9,"Formação Florestal",143,16.1764705882353,"Formação Florestal","#006400"
9,"Pastagem",7,0.79185520361991,"Pastagem","#ffff00"
9,"Cana",20,2.26244343891403,"Cana","#9932CC"
9,"Mosaico de Usos",572,64.7058823529412,"Mosaico de Usos","#f4a460"
9,"Área Urbanizada",142,16.0633484162896,"Área Urbanizada","#ff0000"
10,"Formação Florestal",335,38.0249716231555,"Formação Florestal","#006400"
10,"Mangue",43,4.88081725312145,"Mangue","#687537"
10,"Campo Alagado",65,7.37797956867196,"Campo Alagado","#00ffff"
10,"Cana",6,0.681044267877412,"Cana","#9932CC"
10,"Mosaico de Usos",252,28.6038592508513,"Mosaico de Usos","#f4a460"
10,"Área Urbanizada",162,18.3881952326901,"Área Urbanizada","#ff0000"
10,"Corpo d'Água",18,2.04313280363224,"Corpo d'Água","#0000ff"
11,"Formação Florestal",408,46.311010215664,"Formação Florestal","#006400"
11,"Mangue",204,23.155505107832,"Mangue","#687537"
11,"Mosaico de Usos",228,25.8796821793417,"Mosaico de Usos","#f4a460"
11,"Corpo d'Água",41,4.65380249716232,"Corpo d'Água","#0000ff"
12,"Formação Florestal",865,97.7401129943503,"Formação Florestal","#006400"
12,"Mosaico de Usos",20,2.25988700564972,"Mosaico de Usos","#f4a460"
13,"Formação Florestal",122,13.8009049773756,"Formação Florestal","#006400"
13,"Mangue",24,2.71493212669683,"Mangue","#687537"
13,"Pastagem",24,2.71493212669683,"Pastagem","#ffff00"
13,"Cana",22,2.48868778280543,"Cana","#9932CC"
13,"Mosaico de Usos",661,74.7737556561086,"Mosaico de Usos","#f4a460"
13,"Aquicultura",12,1.35746606334842,"Aquicultura","#02106f"
13,"Corpo d'Água",19,2.14932126696833,"Corpo d'Água","#0000ff"
14,"Formação Florestal",654,74.0656851642129,"Formação Florestal","#006400"
14,"Campo Alagado",22,2.49150622876557,"Campo Alagado","#00ffff"
14,"Mosaico de Usos",152,17.2140430351076,"Mosaico de Usos","#f4a460"
14,"Corpo d'Água",55,6.22876557191393,"Corpo d'Água","#0000ff"
15,"Formação Florestal",341,38.75,"Formação Florestal","#006400"
15,"Mangue",124,14.0909090909091,"Mangue","#687537"
15,"Campo Alagado",3,0.340909090909091,"Campo Alagado","#00ffff"
15,"Cana",5,0.568181818181818,"Cana","#9932CC"
15,"Mosaico de Usos",321,36.4772727272727,"Mosaico de Usos","#f4a460"
15,"Aquicultura",27,3.06818181818182,"Aquicultura","#02106f"
15,"Apicum",21,2.38636363636364,"Apicum","#a9a14c"
15,"Corpo d'Água",38,4.31818181818182,"Corpo d'Água","#0000ff"
