"id_buffer","categoria_bruta","pixels","percentagem","Categoria_Limpa","Cores"
1,"Formação Florestal",319,36.2088535754824,"Formação Florestal","#006400"
1,"Formação Savânica",9,1.02156640181612,"Formação Savânica","#7cfc00"
1,"Cana",44,4.99432463110102,"Cana","#9932CC"
1,"Mosaico de Usos",58,6.58342792281498,"Mosaico de Usos","#f4a460"
1,"Outras Lavouras Temporárias",451,51.1918274687855,"Outras Lavouras Temporárias","#e787f8"
2,"Formação Florestal",228,25.8796821793417,"Formação Florestal","#006400"
2,"Formação Savânica",9,1.02156640181612,"Formação Savânica","#7cfc00"
2,"Cana",18,2.04313280363224,"Cana","#9932CC"
2,"Mosaico de Usos",57,6.46992054483541,"Mosaico de Usos","#f4a460"
2,"Outras Lavouras Temporárias",569,64.5856980703746,"Outras Lavouras Temporárias","#e787f8"
3,"Formação Florestal",227,25.8542141230068,"Formação Florestal","#006400"
3,"Formação Savânica",191,21.753986332574,"Formação Savânica","#7cfc00"
3,"Pastagem",1,0.113895216400911,"Pastagem","#ffff00"
3,"Mosaico de Usos",162,18.4510250569476,"Mosaico de Usos","#f4a460"
3,"Outras Lavouras Temporárias",297,33.8268792710706,"Outras Lavouras Temporárias","#e787f8"
4,"Formação Florestal",355,40.3409090909091,"Formação Florestal","#006400"
4,"Campo Alagado",50,5.68181818181818,"Campo Alagado","#00ffff"
4,"Pastagem",1,0.113636363636364,"Pastagem","#ffff00"
4,"Cana",168,19.0909090909091,"Cana","#9932CC"
4,"Mosaico de Usos",185,21.0227272727273,"Mosaico de Usos","#f4a460"
4,"Outras Lavouras Temporárias",121,13.75,"Outras Lavouras Temporárias","#e787f8"
5,"Formação Florestal",375,42.5170068027211,"Formação Florestal","#006400"
5,"Campo Alagado",3,0.340136054421769,"Campo Alagado","#00ffff"
5,"Cana",152,17.2335600907029,"Cana","#9932CC"
5,"Mosaico de Usos",69,7.82312925170068,"Mosaico de Usos","#f4a460"
5,"Outras Lavouras Temporárias",283,32.0861678004535,"Outras Lavouras Temporárias","#e787f8"
6,"Formação Florestal",351,39.8863636363636,"Formação Florestal","#006400"
6,"Formação Savânica",4,0.454545454545455,"Formação Savânica","#7cfc00"
6,"Campo Alagado",132,15,"Campo Alagado","#00ffff"
6,"Cana",205,23.2954545454545,"Cana","#9932CC"
6,"Mosaico de Usos",72,8.18181818181818,"Mosaico de Usos","#f4a460"
6,"Outras Lavouras Temporárias",116,13.1818181818182,"Outras Lavouras Temporárias","#e787f8"
7,"Formação Florestal",235,26.7653758542141,"Formação Florestal","#006400"
7,"Pastagem",20,2.27790432801822,"Pastagem","#ffff00"
7,"Cana",82,9.33940774487472,"Cana","#9932CC"
7,"Mosaico de Usos",185,21.0706150341686,"Mosaico de Usos","#f4a460"
7,"Outras Lavouras Temporárias",356,40.5466970387244,"Outras Lavouras Temporárias","#e787f8"
8,"Formação Florestal",354,40.1816118047673,"Formação Florestal","#006400"
8,"Campo Alagado",128,14.5289443813848,"Campo Alagado","#00ffff"
8,"Cana",153,17.366628830874,"Cana","#9932CC"
8,"Mosaico de Usos",116,13.16685584563,"Mosaico de Usos","#f4a460"
8,"Corpo d'Água",4,0.454029511918275,"Corpo d'Água","#0000ff"
8,"Outras Lavouras Temporárias",126,14.3019296254257,"Outras Lavouras Temporárias","#e787f8"
9,"Formação Florestal",269,30.4298642533937,"Formação Florestal","#006400"
9,"Cana",516,58.3710407239819,"Cana","#9932CC"
9,"Mosaico de Usos",40,4.52488687782805,"Mosaico de Usos","#f4a460"
9,"Outras Lavouras Temporárias",59,6.67420814479638,"Outras Lavouras Temporárias","#e787f8"
10,"Formação Florestal",99,11.1990950226244,"Formação Florestal","#006400"
10,"Cana",745,84.2760180995475,"Cana","#9932CC"
10,"Mosaico de Usos",4,0.452488687782805,"Mosaico de Usos","#f4a460"
10,"Outras Lavouras Temporárias",36,4.07239819004525,"Outras Lavouras Temporárias","#e787f8"
11,"Formação Florestal",74,8.42824601366743,"Formação Florestal","#006400"
11,"Campo Alagado",6,0.683371298405467,"Campo Alagado","#00ffff"
11,"Cana",647,73.6902050113895,"Cana","#9932CC"
11,"Mosaico de Usos",99,11.2756264236902,"Mosaico de Usos","#f4a460"
11,"Outras Lavouras Temporárias",52,5.92255125284738,"Outras Lavouras Temporárias","#e787f8"
12,"Formação Florestal",317,36.1047835990888,"Formação Florestal","#006400"
12,"Formação Savânica",3,0.341685649202733,"Formação Savânica","#7cfc00"
12,"Campo Alagado",15,1.70842824601367,"Campo Alagado","#00ffff"
12,"Cana",184,20.9567198177677,"Cana","#9932CC"
12,"Mosaico de Usos",144,16.4009111617312,"Mosaico de Usos","#f4a460"
12,"Outras Lavouras Temporárias",215,24.4874715261959,"Outras Lavouras Temporárias","#e787f8"
