"id_buffer","categoria_bruta","pixels","percentagem","Categoria_Limpa","Cores"
1,"Formação Florestal",882,99.8867497168743,"Formação Florestal","#006400"
1,"Pastagem",1,0.113250283125708,"Pastagem","#ffff00"
2,"Formação Florestal",889,100,"Formação Florestal","#006400"
3,"Formação Florestal",891,100,"Formação Florestal","#006400"
4,"Formação Florestal",891,100,"Formação Florestal","#006400"
5,"Formação Florestal",873,98.0898876404494,"Formação Florestal","#006400"
5,"Floresta Alagada",17,1.91011235955056,"Floresta Alagada","#004000"
6,"Formação Florestal",842,94.3946188340807,"Formação Florestal","#006400"
6,"Campo Alagado",5,0.560538116591928,"Campo Alagado","#00ffff"
6,"Pastagem",45,5.04484304932735,"Pastagem","#ffff00"
7,"Formação Florestal",768,86.2921348314607,"Formação Florestal","#006400"
7,"Floresta Alagada",18,2.02247191011236,"Floresta Alagada","#004000"
7,"Pastagem",58,6.51685393258427,"Pastagem","#ffff00"
7,"Corpo d'Água",46,5.1685393258427,"Corpo d'Água","#0000ff"
8,"Formação Florestal",891,100,"Formação Florestal","#006400"
9,"Formação Florestal",884,100,"Formação Florestal","#006400"
10,"Formação Florestal",889,100,"Formação Florestal","#006400"
11,"Formação Florestal",845,94.9438202247191,"Formação Florestal","#006400"
11,"Pastagem",45,5.0561797752809,"Pastagem","#ffff00"
12,"Formação Florestal",729,81.9101123595506,"Formação Florestal","#006400"
12,"Pastagem",111,12.4719101123596,"Pastagem","#ffff00"
12,"Corpo d'Água",50,5.61797752808989,"Corpo d'Água","#0000ff"
13,"Formação Florestal",888,100,"Formação Florestal","#006400"
14,"Formação Florestal",502,56.4044943820225,"Formação Florestal","#006400"
14,"Pastagem",388,43.5955056179775,"Pastagem","#ffff00"
15,"Formação Florestal",889,100,"Formação Florestal","#006400"
